stature,weightkg,chestbreadth
1611,676,281
1602,534,255
1670,748,285
1643,644,258
1628,677,269
1575,620,271
1613,536,258
1598,599,255
1610,644,267
1597,536,230
1590,882,291
1688,646,258
1502,662,284
1593,698,258
1607,677,276
1625,586,247
1525,526,255
1563,564,251
1734,765,264
1734,871,281
1728,682,260
1661,629,243
1703,568,248
1702,680,273
1772,669,256
1626,712,277
1661,781,258
1549,675,243
1634,663,253
1661,793,301
1564,604,260
1664,732,280
1553,712,274
1700,722,250
1542,610,239
1743,817,277
1623,799,286
1590,602,249
1604,584,263
1627,601,251
1718,834,286
1705,973,318
1561,557,253
1661,553,243
1620,526,254
1660,614,240
1697,894,279
1699,893,289
1740,702,271
1701,738,273
1707,601,266
1560,782,286
1483,442,230
1587,476,245
1579,642,260
1659,737,251
1684,776,270
1593,620,254
1589,646,281
1683,697,288
1704,724,282
1736,697,294
1633,620,265
1724,884,266
1487,712,286
1560,684,267
1561,623,272
1618,614,264
1604,551,267
1658,1121,303
1658,749,272
1591,709,264
1638,588,236
1751,876,282
1587,597,259
1540,680,281
1576,707,277
1737,686,272
1573,624,258
1622,610,268
1588,582,261
1548,489,268
1662,696,277
1718,795,288
1519,600,260
1573,640,273
1566,712,256
1529,475,245
1585,735,256
1611,546,273
1610,562,266
1541,582,274
1766,812,262
1626,518,270
1644,523,273
1679,756,274
1743,674,281
1658,552,255
1610,690,279
1675,636,256
1637,641,271
1628,701,249
1645,793,278
1595,660,257
1731,931,291
1567,661,268
1628,510,232
1688,686,267
1706,839,283
1543,652,253
1665,920,287
1690,667,264
1471,464,243
1616,627,253
1753,593,253
1626,508,252
1698,727,268
1545,583,268
1759,669,267
1732,842,275
1587,601,257
1605,609,246
1530,687,262
1598,549,265
1524,452,226
1683,835,290
1577,641,269
1583,588,263
1582,563,243
1569,702,280
1651,779,277
1463,626,265
1659,992,304
1596,626,249
1600,713,276
1557,528,254
1565,552,250
1525,622,271
1613,612,269
1674,529,260
1614,748,265
1558,582,266
1774,790,292
1633,618,255
1611,716,281
1768,692,261
1578,635,279
1619,704,261
1681,668,250
1613,535,247
1575,615,277
1648,751,286
1590,546,238
1609,695,278
1625,773,278
1676,751,268
1623,700,276
1612,502,239
1720,717,293
1567,644,247
1770,1072,298
1668,940,304
1588,764,252
1616,897,293
1593,777,275
1572,497,249
1674,662,264
1652,696,292
1664,844,293
1691,647,255
1657,780,279
1704,773,282
1654,734,260
1578,695,278
1645,707,282
1631,936,291
1561,857,288
1516,573,258
1749,676,261
1715,855,275
1600,549,246
1683,588,256
1557,715,249
1548,580,264
1714,697,258
1649,685,270
1528,586,260
1596,842,278
1658,909,278
1701,1047,288
1683,663,263
1634,766,302
1695,715,282
1548,591,279
1587,665,288
1549,676,265
1606,792,296
1508,652,264
1733,753,266
1560,517,259
1739,865,268
1629,732,263
1609,741,259
1740,906,299
1678,845,269
1545,631,260
1809,898,296
1764,970,301
1606,663,263
1567,594,269
1594,657,292
1587,786,295
1573,520,253
1624,641,270
1635,798,293
1580,740,272
1691,641,254
1656,803,301
1615,714,285
1749,924,272
1561,668,271
1674,678,255
1721,577,245
1704,687,305
1636,758,275
1583,652,279
1604,699,278
1533,474,259
1594,558,248
1719,768,280
1687,832,290
1613,717,291
1644,762,285
1616,632,270
1641,610,272
